crews,popularity,imdb_avgRating
Adrian Vonwiller,0.6,5.7
Adrian Zaragoza,0.6,7.1
Adriana Chamorro,0.6,
Adriana Chiesa De Palma,0.6,5.1
Adriana Cortés,0.6,4.6
Adriana Davidova,0.6,3.9
Adriana Dutra,0.6,
Adriana Falcão,0.6,6.916666666666667
Adriana Iurascu,0.6,7.2
Adriana Man,0.6,5.6
Adriana Olivera,0.6,5.5
Adriana Orozco de Jesús,0.6,6.2
Adriana Pacheco,0.6,6.1
Adriana Pelusi,1.38,5.1
Adriana Rotaru,0.6,6.8
Adriana Vior,0.6,6.2
Adriane Marfiak,0.6,4.3
Adriane Stamer-Klassen,0.6,4.7
Adriano Arie,0.6,5.0
Adriano Goldman,0.6,6.3
Adriano Machado,0.6,5.9
Adriano Manques,0.6,5.8
Adriano Moreno,0.6,4.4
Adriano S. Barbuto,0.6,
Adriano Tagliavia,0.828,6.4
Adriano Torbidone,0.6,7.2
Adriano Viganò,0.6,5.9
Adrianto Sinaga,0.9800000000000001,6.633333333333333
Adriatik Ragipi,0.6,7.5
Adrien Brody,5.527,6.1
Adrien Jolivet,1.159,6.6
Adrien L'Hommede,0.6,6.7
Adrien McKechnie,0.6,4.8
Adrien Morot,0.6,5.5
Adrien Servadio,0.6,8.0
Adriene Wyse,1.4,5.4
Adrienn Szabó,0.6,7.6
Adrienne Becker,0.6,7.5
Adrienne Biddle,0.6,6.4
Adrienne Chauliac,0.6,6.8
Adrienne Crow,0.6,6.8
Adrienne Franciscus,0.6,6.9
Adrienne McGrane,0.6,5.7
Adrienne Schaffler,0.6,6.5
Adrienne Shelly,1.339,7.0
Adrienne Stern,0.5999999999999999,5.875
Adrienne Wehr,0.98,6.6
Adrienne Weiss,0.6,6.6
Adrià Egea,0.6,6.6
Adrià García,0.6,7.3
Adrián Caetano,1.614,7.066666666666666
Adrián Charras,0.6,
Adrián García Bogliano,1.22,5.066666666666666
Adrián Iaies,0.6,6.8
Adrián Rodríguez,0.6,5.9
Adrián Solar,0.6,6.720000000000001
Adrián Suar,0.6,5.733333333333333
Adrián Suárez,0.6,6.8
Adruitha Lee,1.094,6.28
Advait Chandan,0.6,8.4
Advait Nemlekar,0.6,8.1
Adze Ugah,0.6,5.3
Adán Aliaga,0.6,7.3
Adán Díaz,0.6,6.2
Adán Herrera,0.6,6.6
Aek Aiemcheun,0.6,7.3
Aelrun Goette,2.07,6.8
Aengus James,0.6,7.3
Aerin Chaklai,0.6,8.3
Aeschylus Poulos,1.38,6.166666666666667
Aet Laigu,0.6,7.0
Aeyron Moore,0.6,5.5
Afdlin Shauki,1.8,7.05
Afef Ben Mahmoud,0.6,6.3
Affandi Jamaludin,0.6,7.1
Affif Ben Badra,1.4,7.8
Affonso Beato,1.4000000000000001,6.324999999999999
Affonso Brazza,0.618,6.6
Affonso Gonçalves,0.6,6.1
Afia Nathaniel,0.6,7.8
Afif Heukeshoven,0.6,5.4
Afo Verde,0.6,4.2
Afolabi Kuti,0.6,6.4
Afonso Coaracy,0.6,5.7
Africa Ukoh,0.6,5.3
Afrim Spahiu,0.6,6.1
Afsal,0.9879999999999999,5.4
Afshin Liaghat,0.6,6.5
Afshin Shahidi,0.6,7.9
Afzal Ahmad,0.6,5.3
Afzal Khan,0.6,4.0
Agam Suharto,0.98,6.0
Agamemnonas Zakos,0.6,5.3
Agata Biedrzycka,0.6,3.2
Agata Lepacka,0.6,5.5
Agatha Christie,2.432,6.3
Agatha Dominik,0.6,5.8
Agathe Bluysen,0.6,8.0
Agathe Cauvin,0.6,5.6
Agathe David-Weill,0.6,5.2
Agathe Hassenforder,0.6,6.55
Agathe Sallabery,0.6,6.2
Agathiyan,0.6,4.2
Agent Alvin,0.6,4.2
Aggelos Yiannaros,0.6,5.3
Aggie Guerard Rodgers,0.6,5.8
Aghi Narottama,0.8280000000000001,7.075
Agi Ariunsaichan Dawaachu,0.6,7.2
Agi Orsi,0.6,7.9
Agilan,0.828,4.6
Agis Panagiotou,0.6,3.7
Agne Talu,0.6,7.9
Agnes Johansen,0.6,6.45
Agnes Lealt,0.6,7.1
Agnes Pluch,0.6,5.4
Agnes de Guzman,0.6,5.6000000000000005
